batch_id,proposal_count,entropy_domain_count,accepted_count,accepted_fraction,minimum_accepted_margin
0,262144,262144,56,0.000213623046875,0.00017757977497279143
1,262144,262144,54,0.00020599365234375,0.0002758315137949552
2,262144,262144,51,0.000194549560546875,8.770523561052457e-05
3,262144,262144,63,0.000240325927734375,0.0006290765301701917
4,262144,262144,52,0.0001983642578125,0.0006141959955641152
5,262144,262144,64,0.000244140625,0.00023243902878622436
6,262144,262144,55,0.000209808349609375,0.0005990285727421885
7,262144,262144,64,0.000244140625,0.0002698828241487483
8,262144,262144,54,0.00020599365234375,0.00012882744840614357
9,262144,262144,65,0.000247955322265625,4.617212261548431e-05
10,262144,262144,54,0.00020599365234375,7.984217028833562e-05
11,262144,262144,54,0.00020599365234375,0.0008473548856537949
12,262144,262144,62,0.00023651123046875,7.618820619881284e-05
13,262144,262144,55,0.000209808349609375,0.0003968080848304467
14,262144,262144,46,0.00017547607421875,0.00010114682372441841
15,262144,262144,48,0.00018310546875,0.00046219822404314215
16,262144,262144,64,0.000244140625,2.2913001085367313e-05
17,262144,262144,57,0.000217437744140625,1.8884695336396362e-05
18,262144,262144,49,0.000186920166015625,9.687024149096501e-05
19,262144,262144,53,0.000202178955078125,6.676572062902508e-05
20,262144,262144,48,0.00018310546875,2.1396778571602937e-05
21,262144,262144,52,0.0001983642578125,0.0005180899055834409
22,262144,262144,58,0.00022125244140625,9.212423230509081e-05
23,262144,262144,46,0.00017547607421875,0.00025045426662861914
24,262144,262144,51,0.000194549560546875,0.001018784044843235
25,262144,262144,57,0.000217437744140625,0.00027346431233299384
26,262144,262144,53,0.000202178955078125,0.0013958304289252155
27,262144,262144,53,0.000202178955078125,0.00021440378175330288
28,262144,262144,56,0.000213623046875,0.00014271832808487872
29,262144,262144,48,0.00018310546875,0.0004365150969278808
30,262144,262144,51,0.000194549560546875,0.0007620223066475695
31,262144,262144,54,0.00020599365234375,1.6186084812463974e-05
32,262144,262144,65,0.000247955322265625,0.0002943254421929886
33,262144,262144,46,0.00017547607421875,0.0014049810290730491
