cooling_time,cooling_upper_bound_median,cooling_upper_bound_p16,cooling_upper_bound_p84,auxiliary_median,auxiliary_p16,auxiliary_p84,inference_sample_count
1000.0,0.04099234403708507,0.011559989121197427,0.08775972338913252,0.7136600807749913,0.5153399576076522,0.925782348923888,100000
5000.0,0.18045308577167984,0.10130902926875213,0.2530276726432643,0.5780290422912013,0.41941675236535786,0.7639872469408756,100000
10000.0,0.21619654201594618,0.12157709293881303,0.30197501298218066,0.5416690822635484,0.38839230994269563,0.7261535365348744,100000
50000.0,0.3243798948098816,0.1992033219872232,0.4366222461387143,0.4335806440528054,0.29462555616280434,0.607788364613775,100000
100000.0,0.3780961991977444,0.23832847831326134,0.5042460679170223,0.37974649768926816,0.24796235327796504,0.5491459464493634,100000
500000.0,0.47815712838745417,0.3268524689040786,0.6133295445753785,0.28281037042287405,0.16839836702906805,0.43064210423289007,100000
1000000.0,0.5213360304045753,0.36210881931399364,0.6642195331342461,0.24034949095707858,0.13086925921447962,0.3821970580615645,100000
5000000.0,0.5487872500401643,0.3811208516117739,0.7013015783137454,0.2125949223028959,0.10285841611822788,0.3532477489052654,100000
10000000.0,0.5728013890335101,0.3999516192127787,0.7305569417438849,0.188928319102579,0.08696194702222239,0.3202938152493849,100000
50000000.0,0.5967062200174031,0.4214152916489731,0.7589442938988431,0.1637766569101029,0.06998824127388298,0.2874362214310625,100000
